ticker,industry,run_time
PVD,oil__gas,2024-06-19 01:07:47
PEQ,oil__gas,2024-06-19 01:07:47
PLX,oil__gas,2024-06-19 01:07:47
PVB,oil__gas,2024-06-19 01:07:47
PVE,oil__gas,2024-06-19 01:07:47
PTV,oil__gas,2024-06-19 01:07:47
BSR,oil__gas,2024-06-19 01:07:47
OIL,oil__gas,2024-06-19 01:07:47
PVS,oil__gas,2024-06-19 01:07:47
POS,oil__gas,2024-06-19 01:07:47
TOS,oil__gas,2024-06-19 01:07:47
PVC,oil__gas,2024-06-19 01:07:47
NFC,chemicals,2024-06-19 01:07:47
TNC,chemicals,2024-06-19 01:07:47
VKP,chemicals,2024-06-19 01:07:47
AAA,chemicals,2024-06-19 01:07:47
SEP,chemicals,2024-06-19 01:07:47
TPC,chemicals,2024-06-19 01:07:47
GVR,chemicals,2024-06-19 01:07:47
DGC,chemicals,2024-06-19 01:07:47
DOC,chemicals,2024-06-19 01:07:47
PVO,chemicals,2024-06-19 01:07:47
PCE,chemicals,2024-06-19 01:07:47
NHH,chemicals,2024-06-19 01:07:47
SPC,chemicals,2024-06-19 01:07:47
QBS,chemicals,2024-06-19 01:07:47
PMB,chemicals,2024-06-19 01:07:47
DHB,chemicals,2024-06-19 01:07:47
DPM,chemicals,2024-06-19 01:07:47
VPS,chemicals,2024-06-19 01:07:47
RDP,chemicals,2024-06-19 01:07:47
PLC,chemicals,2024-06-19 01:07:47
DAG,chemicals,2024-06-19 01:07:47
SBR,chemicals,2024-06-19 01:07:47
LNC,chemicals,2024-06-19 01:07:47
GER,chemicals,2024-06-19 01:07:47
VXP,chemicals,2024-06-19 01:07:47
PAT,chemicals,2024-06-19 01:07:47
SJF,chemicals,2024-06-19 01:07:47
TRC,chemicals,2024-06-19 01:07:47
HRC,chemicals,2024-06-19 01:07:47
HSI,chemicals,2024-06-19 01:07:47
CPC,chemicals,2024-06-19 01:07:47
DCM,chemicals,2024-06-19 01:07:47
DPD,chemicals,2024-06-19 01:07:47
PPV,chemicals,2024-06-19 01:07:47
LAS,chemicals,2024-06-19 01:07:47
VAF,chemicals,2024-06-19 01:07:47
BRR,chemicals,2024-06-19 01:07:47
HII,chemicals,2024-06-19 01:07:47
BFC,chemicals,2024-06-19 01:07:47
DRI,chemicals,2024-06-19 01:07:47
SFG,chemicals,2024-06-19 01:07:47
BT1,chemicals,2024-06-19 01:07:47
VNP,chemicals,2024-06-19 01:07:47
VNY,chemicals,2024-06-19 01:07:47
PLP,chemicals,2024-06-19 01:07:47
HPH,chemicals,2024-06-19 01:07:47
IRC,chemicals,2024-06-19 01:07:47
DDV,chemicals,2024-06-19 01:07:47
HCD,chemicals,2024-06-19 01:07:47
PHR,chemicals,2024-06-19 01:07:47
VTQ,chemicals,2024-06-19 01:07:47
RBC,chemicals,2024-06-19 01:07:47
LTG,chemicals,2024-06-19 01:07:47
BRC,chemicals,2024-06-19 01:07:47
NSG,chemicals,2024-06-19 01:07:47
PCN,chemicals,2024-06-19 01:07:47
PSW,chemicals,2024-06-19 01:07:47
VFG,chemicals,2024-06-19 01:07:47
PGN,chemicals,2024-06-19 01:07:47
HAI,chemicals,2024-06-19 01:07:47
VET,chemicals,2024-06-19 01:07:47
APP,chemicals,2024-06-19 01:07:47
DCI,chemicals,2024-06-19 01:07:47
RTB,chemicals,2024-06-19 01:07:47
PSE,chemicals,2024-06-19 01:07:47
SIV,chemicals,2024-06-19 01:07:47
NNG,chemicals,2024-06-19 01:07:47
HVT,chemicals,2024-06-19 01:07:47
DPR,chemicals,2024-06-19 01:07:47
VTZ,chemicals,2024-06-19 01:07:47
DRG,chemicals,2024-06-19 01:07:47
TSC,chemicals,2024-06-19 01:07:47
CSV,chemicals,2024-06-19 01:07:47
DTT,chemicals,2024-06-19 01:07:47
HNP,chemicals,2024-06-19 01:07:47
PCH,chemicals,2024-06-19 01:07:47
VIF,basic_resources,2024-06-19 01:07:47
TNS,basic_resources,2024-06-19 01:07:47
YBM,basic_resources,2024-06-19 01:07:47
TQN,basic_resources,2024-06-19 01:07:47
SCA,basic_resources,2024-06-19 01:07:47
SHI,basic_resources,2024-06-19 01:07:47
NHV,basic_resources,2024-06-19 01:07:47
VPG,basic_resources,2024-06-19 01:07:47
HPG,basic_resources,2024-06-19 01:07:47
KSH,basic_resources,2024-06-19 01:07:47
KHD,basic_resources,2024-06-19 01:07:47
LMC,basic_resources,2024-06-19 01:07:47
KKC,basic_resources,2024-06-19 01:07:47
DNS,basic_resources,2024-06-19 01:07:47
GTA,basic_resources,2024-06-19 01:07:47
HLC,basic_resources,2024-06-19 01:07:47
MTA,basic_resources,2024-06-19 01:07:47
TKU,basic_resources,2024-06-19 01:07:47
TMW,basic_resources,2024-06-19 01:07:47
GDA,basic_resources,2024-06-19 01:07:47
MGC,basic_resources,2024-06-19 01:07:47
BAM,basic_resources,2024-06-19 01:07:47
SAV,basic_resources,2024-06-19 01:07:47
NSH,basic_resources,2024-06-19 01:07:47
PTB,basic_resources,2024-06-19 01:07:47
PTK,basic_resources,2024-06-19 01:07:47
TMB,basic_resources,2024-06-19 01:07:47
TCP,basic_resources,2024-06-19 01:07:47
KSS,basic_resources,2024-06-19 01:07:47
KHB,basic_resources,2024-06-19 01:07:47
HMC,basic_resources,2024-06-19 01:07:47
